imdb_title_id,title,year,genre,duration,avg_vote
tt0349686,Kiss and Run,2002,"Comedy, Drama, Romance",88,6.2
tt0349995,Prendimi l'anima,2002,"Biography, Drama, Romance",90,6.7
tt0351172,"Kelj fel, komám, ne aludjál",2002,"Comedy, Drama",85,6.2
tt0351283,Madagascar,2005,"Animation, Adventure, Comedy",86,6.9
tt0351977,A testa alta,2004,"Action, Crime",86,6.3
tt0352925,Tongan Ninja,2002,"Action, Comedy, Musical",83,6
tt0353014,Wonderful Days,2003,"Animation, Action, Adventure",86,6.7
tt0354356,CinquePerDue - Frammenti di vita amorosa,2004,"Drama, Romance",90,6.6
tt0355029,Wolfsburg,2003,Drama,90,7.2
tt0355611,Jonny Vang,2003,"Comedy, Drama, Mystery",85,6.3
tt0355683,Ein Leben lang kurze Hosen tragen,2002,"Crime, Drama",83,6.9
tt0356176,La Foresta Misteriosa,2003,"Adventure, Horror, Mystery",85,6.2
